Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend
2021-08-02,366.28,366.88,363.87,364.6,27334096.0,9985827000.0,364.6,0.0
2021-08-03,365.28,366.93,362.0,366.81,35558510.0,12975244000.0,366.81,0.0
2021-08-04,366.77,368.32,365.63,367.34,29602236.0,10864890000.0,367.34,0.0
2021-08-05,368.18,369.91,367.45,369.67,21443924.0,7913370000.0,369.67,0.0
2021-08-06,368.37,369.37,366.905,368.05,33332108.0,12279869000.0,368.05,0.0
2021-08-09,368.52,369.27,367.39,368.73,25960244.0,9566691000.0,368.73,0.0
2021-08-10,369.26,369.56,365.62,366.84,35130796.0,12903539000.0,366.84,0.0
2021-08-11,368.14,368.65,364.84,366.21,34249812.0,12550519000.0,366.21,0.0
2021-08-12,365.69,367.9,364.295,367.53,26003876.0,9528855000.0,367.53,0.0
2021-08-13,367.89,369.16,367.38,368.82,19336190.0,7122153500.0,368.82,0.0
2021-08-16,367.67,369.02,363.7,368.98,35044108.0,12844410000.0,368.98,0.0
2021-08-17,366.15,367.15,363.23,365.73,44793904.0,16365189000.0,365.73,0.0
2021-08-18,365.18,366.62,361.865,362.21,38541940.0,14056474000.0,362.21,0.0
2021-08-19,360.22,365.68,359.96,363.96,48499370.0,17608510000.0,363.96,0.0
2021-08-20,365.06,368.14,364.74,367.73,39486030.0,14476315000.0,367.73,0.0
2021-08-23,368.8,373.935,368.79,373.23,34034744.0,12655957000.0,373.23,0.0
2021-08-24,373.84,374.99,373.36,374.37,21732912.0,8131997700.0,374.37,0.0
2021-08-25,374.63,375.39,373.855,374.8,20441880.0,7657250000.0,374.8,0.0
2021-08-26,373.92,374.62,371.97,372.42,29133324.0,10875366000.0,372.42,0.0
2021-08-27,373.07,376.56,372.57,376.04,27104748.0,10169761000.0,376.04,0.0
2021-08-30,376.85,380.76,376.83,380.26,27295664.0,10355974000.0,380.26,0.0
2021-08-31,380.51,380.579,378.36,379.95,29628176.0,11248792000.0,379.95,0.0
2021-09-01,381.04,382.71,380.37,380.58,28138312.0,10733617000.0,380.58,0.0
2021-09-02,381.97,382.31,379.15,380.4,25503536.0,9709319000.0,380.4,0.0
2021-09-03,379.22,381.98,379.2003,381.57,24624936.0,9382199000.0,381.57,0.0
2021-09-07,381.68,382.778,380.4882,382.11,23970204.0,9151664000.0,382.11,0.0
2021-09-08,381.93,381.93,378.45,380.78,32949160.0,12533281000.0,380.78,0.0
2021-09-09,381.01,382.15,379.22,379.47,29398978.0,11189219000.0,379.47,0.0
2021-09-10,381.23,381.97,376.245,376.59,40249404.0,15261805000.0,376.59,0.0
